KEYWORDS,IONIAN ISLANDS,PELOPONNESE,WESTERN GREECE,NORTH AEGEAN,EPIRUS,EAST MACEDONIA-THRACE,CRETE,CENTRAL MACEDONIA,ATTICA,THESSALY,CENTRAL GREECE,SOUTH AEGEAN,Western Macedonia,,
agro-food,4,5,4,8,6,1,2,7,0,8,5,0,0,50,
manufacturing ,7,17,12,9,14,37,3,21,12,17,54,12,11,226,
tourism,61,30,24,27,29,14,26,21,11,19,15,63,9,349,
health,1,6,8,4,7,7,12,15,12,8,5,5,7,97,
cluster,37,41,56,29,45,39,29,53,72,28,35,38,51,553,8
crop production,0,2,0,0,0,0,0,0,0,0,0,0,1,3,54
transportation,7,1,6,6,0,1,4,4,8,1,4,10,0,52,63
culture,19,18,12,20,31,14,15,16,1,13,15,12,13,199,15
agriculture,9,11,4,7,9,9,8,8,4,7,11,3,6,96,72
farming,10,15,11,4,17,14,7,2,2,6,8,3,6,105,2
fisheries,2,1,5,5,5,3,0,2,1,2,0,0,1,27,10
energy ,6,13,15,12,7,17,5,9,14,2,11,13,48,172,31
textiles,0,0,0,0,0,4,0,3,1,3,0,1,0,12,11
pharmaceuticals,0,0,0,0,0,1,0,0,9,0,1,0,0,11,17
knowledge intensive ,0,0,3,0,0,0,1,5,12,2,0,0,0,23,5
ICT,26,27,40,42,42,30,38,50,30,33,36,37,42,473,48
broadband,6,9,14,12,8,5,11,9,7,5,5,5,5,101,4
construction,7,10,7,6,4,8,3,4,6,6,6,6,7,80,9
retail ,6,3,1,4,4,7,1,6,5,2,1,8,4,52,12
logistics ,3,1,2,2,1,2,2,4,4,1,1,3,1,27,50
metal,2,4,1,1,1,1,2,7,4,10,17,2,9,61,14
export,1,9,3,5,6,3,7,6,5,4,4,6,4,63,10
research,16,33,52,33,38,27,74,62,62,35,30,22,39,523,8
education,12,15,24,20,24,23,28,31,28,15,15,14,19,268,4
livestock,0,1,4,1,3,4,1,1,0,1,3,0,1,20,17
primary,3,3,4,4,5,14,2,1,1,3,6,3,3,52,9
horticulture,2,4,1,1,3,1,2,1,0,2,2,1,4,24,74
business,31,36,53,55,41,29,39,42,44,34,27,33,28,492,31
technology,22,29,29,11,29,30,28,43,25,23,29,17,25,340,4
animal,6,9,4,2,9,8,5,1,0,3,9,1,6,63,14
SME,13,15,17,15,12,19,9,16,12,12,14,8,16,178,4
maximum,61,41,56,55,45,39,74,62,72,35,54,63,51,553,55
